X-axis,Y-axis,Link
32.5905520909,96.0539912579116,0
32.8033243047539,96.4750229769852,0
32.9948924556375,96.9116186711472,0
33.1454515355872,97.3724271964747,0
33.1938564301236,97.8639539284632,0
33.0994313519914,98.3426415857393,0
32.8508320103865,98.7271910256241,0
32.5420303551946,99.0367965900805,0
32.2368325103889,99.3397399083479,0
31.9316346655832,99.6426832266153,0
31.9573698317399,100.055688419845,0
31.9831049978965,100.468693613075,0
32.2020234315423,100.848002211424,0
32.4209418650716,101.22731080954,0
32.6398602986009,101.606619407889,0
32.9647041329882,101.892935639946,0
33.2957190343877,102.167866884498,0
33.6325313643319,102.431428571931,0
33.9746182762319,102.684002535185,0
34.3212766778889,102.92649923754,0
34.6715462623397,103.160636693705,0
35.0240242448635,103.389477022225,0
30.3088941094466,91.7320576317143,1
30.5216663233004,92.1530893507879,1
30.713234474184,92.5896850449499,1
30.8637935541337,93.0504935702775,1
30.9121984486701,93.5420203022659,1
30.8177733705379,94.0207079595421,1
30.569174028933,94.4052573994268,1
30.2603723737411,94.7148629638832,1
29.908875385765,94.9461403449532,1
29.6026813019998,95.2612695961725,1
29.3437826001318,95.6358788516372,1
29.3695177664049,96.048884044867,1
29.3952529325616,96.4618892380968,1
29.6141713662073,96.8411978364457,1
29.8330897997366,97.2205064345617,1
30.052008233266,97.5998150329106,1
30.3768520676531,97.8861312649678,1
30.7078669690527,98.16106250952,1
31.0446792989969,98.4246241969522,1
31.3867662108969,98.6771981602069,1
31.7334246125538,98.9196948625613,1
32.0836941970047,99.1538323187269,1
32.4361721795285,99.3826726472471,1
28.0272361279931,87.410124005517,2
28.240008341847,87.8311557245906,2
28.4315764927305,88.2677514187526,2
28.5821355726803,88.7285599440802,2
28.6305404672166,89.2200866760686,2
28.5361153890844,89.6987743333448,2
28.2875160474796,90.0833237732295,2
27.9787143922877,90.3929293376859,2
27.6272174043115,90.6242067187559,2
27.32102332043,90.9393359699752,2
27.0621246186784,91.31394522544,2
27.0878597849514,91.7269504186697,2
27.1135949511081,92.1399556118995,2
27.3325133847538,92.5192642102484,2
27.5514318181667,92.8985728083644,2
27.7703502518125,93.2778814067133,2
28.0951940861996,93.5641976387706,2
28.4262089875992,93.8391288833227,2
28.7630213175435,94.1026905707549,2
29.105108229327,94.3552645340096,2
29.4517666311003,94.597761236364,2
29.8020362155512,94.8318986925296,2
30.154514198075,95.0607390210498,2
