stream server start
2024/09/22 09:01:51 [-C---]          0 B       0 bps 
2024/09/22 09:06:36 [CC---]     355221 B   10284 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:06:41 [CC---]     361536 B    9818 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:06:46 [CC---]     367859 B   10243 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:06:51 [CC---]     374182 B    9823 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:06:56 [CC---]     380497 B   10263 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:01 [CC---]     386733 B    9611 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:06 [CC---]     393056 B   10258 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:11 [CC---]     399355 B    9806 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:16 [CC---]     405678 B   10263 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:21 [CC---]     411993 B    9816 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:26 [CC---]     418292 B   10253 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:31 [CC---]     424615 B    9838 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:36 [CC---]     430938 B   10268 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:41 [CC---]     437261 B    9818 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:46 [CC---]     443584 B   10237 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:51 [CC---]     449891 B    9769 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:56 [CC---]     456214 B   10268 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:08:01 [CC---]     462621 B   10051 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:08:06 [CC---]     469124 B   10545 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:08:11 [CC---]     475619 B   10088 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:08:16 [CC---]     482106 B   10481 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:08:21 [CC---]     488569 B   10051 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:08:26 [CC---]     495032 B   10471 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:08:31 [CC---]     501495 B   10051 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:08:36 [CC---]     507958 B   10497 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:08:41 [CC---]     514421 B   10051 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:08:46 [CC---]     520892 B   10518 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:08:51 [CC---]     527395 B   10105 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:08:56 [CC---]     533890 B   10540 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:09:01 [CC---]     540385 B   10115 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:09:06 [CC---]     546880 B   10550 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:09:11 [CC---]     553359 B   10041 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:09:16 [CC---]     559838 B   10524 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:09:21 [CC---]     566320 B   10036 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:09:26 [CC---]     572783 B   10545 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:09:31 [CC---]     579270 B   10095 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:09:36 [CC---]     585733 B   10365 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:09:41 [CC---]     592204 B   10026 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:09:46 [CC---]     598675 B   10417 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:09:51 [CC---]     605170 B   10090 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:09:56 [CC---]     611657 B   10471 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:10:01 [CC---]     618160 B   10095 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:10:06 [CC---]     624647 B   10095 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:10:11 [CC---]     631134 B   10120 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:10:16 [CC---]     637597 B   10004 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:10:21 [CC---]     644100 B   10110 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:10:26 [CC---]     650587 B   10105 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:10:31 [CC---]     657050 B   10036 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:10:36 [CC---]     663553 B   10090 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:10:41 [CC---]     670032 B   10041 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:10:46 [CC---]     676535 B   10105 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
