X-axis,Y-axis,Link
0.0,0.0,0
0.09090909090909091,0.0,0
0.18181818181818182,0.0,0
0.2727272727272727,0.0,0
0.36363636363636365,0.0,0
0.4545454545454546,0.0,0
0.5454545454545454,0.0,0
0.6363636363636364,0.0,0
0.7272727272727273,0.0,0
0.8181818181818182,0.0,0
1.0,0.0,0
1.0909090909090908,0.0,0
1.1818181818181819,0.0,0
1.2727272727272727,0.0,0
1.3636363636363638,0.0,0
1.4545454545454546,0.0,0
1.5454545454545454,0.0,0
1.6363636363636362,0.0,0
1.7272727272727273,0.0,0
1.8181818181818183,0.0,0
2.0,0.0,0
2.090909090909091,0.0,0
2.1818181818181817,0.0,0
2.2727272727272725,0.0,0
2.3636363636363638,0.0,0
2.4545454545454546,0.0,0
2.5454545454545454,0.0,0
2.6363636363636362,0.0,0
2.7272727272727275,0.0,0
2.8181818181818183,0.0,0
3.0,0.0,0
3.090909090909091,0.0,0
3.1818181818181817,0.0,0
3.2727272727272725,0.0,0
3.3636363636363638,0.0,0
3.4545454545454546,0.0,0
3.5454545454545454,0.0,0
3.6363636363636362,0.0,0
3.7272727272727275,0.0,0
3.8181818181818183,0.0,0
4.0,0.0,0
4.090909090909091,0.0,0
4.181818181818182,0.0,0
4.2727272727272725,0.0,0
4.363636363636363,0.0,0
4.454545454545455,0.0,0
4.545454545454545,0.0,0
4.636363636363637,0.0,0
4.7272727272727275,0.0,0
4.818181818181818,0.0,0
5.0,0.0,0
5.090909090909091,0.0,0
5.181818181818182,0.0,0
5.2727272727272725,0.0,0
5.363636363636363,0.0,0
5.454545454545455,0.0,0
5.545454545454545,0.0,0
5.636363636363637,0.0,0
5.7272727272727275,0.0,0
5.818181818181818,0.0,0
6.0,0.0,0
6.090909090909091,0.0,0
6.181818181818182,0.0,0
6.2727272727272725,0.0,0
6.363636363636363,0.0,0
6.454545454545455,0.0,0
6.545454545454545,0.0,0
6.636363636363637,0.0,0
6.7272727272727275,0.0,0
6.818181818181818,0.0,0
7.0,0.0,0
7.090909090909091,0.0,0
7.181818181818182,0.0,0
7.2727272727272725,0.0,0
7.363636363636363,0.0,0
7.454545454545455,0.0,0
7.545454545454545,0.0,0
7.636363636363637,0.0,0
7.7272727272727275,0.0,0
7.818181818181818,0.0,0
8.0,0.0,0
8.090909090909092,0.0,0
8.181818181818182,0.0,0
8.272727272727273,0.0,0
8.363636363636363,0.0,0
8.454545454545455,0.0,0
8.545454545454545,0.0,0
8.636363636363637,0.0,0
8.727272727272727,0.0,0
8.818181818181818,0.0,0
